개방시설명,개방장소명,개방시설유형구분,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,위도,경도
종합운동장 궁도장,국궁장,기타,경기도 부천시 소사로 482,경기도 부천시 춘의동 8번지,경기도 부천도시공사,체육사업부,37.502801,126.798937
옥길인조잔디구장,축구장,축구장,경기도 부천시 옥길동 422-2,경기도 부천시 옥길동 422-2,경기도 부천도시공사,체육사업부,37.488234,126.749724
독고탁야구장,야구장,야구장,경기도 부천시 벌말로 220,경기도 부천시 대장동 434,경기도 부천도시공사,체육사업부,37.505064,126.816536
성주산 인조잔디구장,축구장,축구장,경기도 부천시 호현로387번길 38-1,경기도 부천시 소사본동 185-29번지,경기도 부천도시공사,체육사업부,37.472857,126.789525
부천체육관,스포츠센터,체육관,경기도 부천시 석천로 293,경기도 부천시 중동 1024번지,경기도 부천도시공사,체육사업부,37.513625,126.763197
송내배드민턴장,송내배드민턴장,체육관,경기도 부천시 마니로 33,경기도 부천시 송내동 678-2,경기도 부천도시공사,체육사업부,37.476788,126.771517
"인공암벽장(수, 금)",인공암벽장,기타,경기도 부천시 소사로 482,경기도 부천시 춘의동 8번지,경기도 부천도시공사,체육사업부,37.502801,126.798937
부천인조잔디구장,부천인조잔디구장,축구장,경기도 부천시 소사로 482,경기도 부천시 춘의동 8번지,경기도 부천도시공사,체육사업부,37.513443,126.745752
역곡배드민턴장,역곡배드민턴장,체육관,경기도 부천시 지봉로51번길 77,경기도 부천시 역곡동 302-2번지,경기도 부천도시공사,체육사업부,37.513625,126.763197
종합운동장 스포츠센터,스포츠센터,체육관,경기도 부천시 소사로 482,경기도 부천시 춘의동 8번지,경기도 부천도시공사,체육사업부,37.502801,126.798937
소사국민체육센터,소사국민체육센터,체육관,경기도 부천시 소사로 108,경기도 부천시 소사본동 400-1번지,경기도 부천도시공사,체육사업부,37.468516,126.798297
부천배드민턴장,배드민턴장,체육관,경기도 부천시 은성로2번길 6,경기도 부천시 소사본동 산78-6번지,경기도 부천도시공사,체육사업부,37.475033,126.772999
"인공암벽장(화, 목)",인공암벽장,기타,경기도 부천시 소사로 482,경기도 부천시 춘의동 8번지,경기도 부천도시공사,체육사업부,37.502801,126.798937
오정인조잔디구장,오정인조잔디구장,축구장,경기도 부천시 소사로 482,경기도 부천시 춘의동 8번지,경기도 부천도시공사,체육사업부,37.550699,126.845013
서촌체육관,체육관,체육관,경기도 부천시 부일로 172,경기도 부천시 상동 466번지,경기도 부천도시공사,체육사업부,37.502654,126.7968
오정레포츠센터,스포츠센터,체육관,경기도 부천시 상오정로 169,경기도 부천시 오정동 782번지,경기도 부천도시공사,체육사업부,37.529916,126.786563
부천체육관,주경기장,체육관,경기도 부천시 석천로 293,경기도 부천시 중동 1024번지,경기도 부천도시공사,체육사업부,37.513625,126.763197
종합운동장 주경기장,주경기장,다목적경기장,경기도 부천시 소사로 482,경기도 부천시 춘의동 8번지,경기도 부천도시공사,체육사업부,37.502801,126.798937
종합운동장 테니스장,테니스장,테니스장,경기도 부천시 소사로 482,경기도 부천시 춘의동 8번지,경기도 부천도시공사,체육사업부,37.502801,126.798937
종합운동장 야구장,야구장,야구장,경기도 부천시 소사로 482,경기도 부천시 춘의동 8번지,경기도 부천도시공사,체육사업부,37.502801,126.798937
