시군명,사업장명,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,X좌표값,Y좌표값,문화체육업종명,박물관미술관유형명
부천시,명칭,,경기도 부천시 원미구 소사동 1번지,37.4890357,126.7961195,,,박물관,종합박물관
부천시,부천수석박물관,경기도 부천시 원미구 소사로 482 (춘의동),경기도 부천시 원미구 춘의동 8번지  ,37.503069,126.7988742,,,박물관,전문박물관
부천시,부천펄벅기념관,경기도 부천시 소사구 성주로 214 (심곡본동),경기도 부천시 소사구 심곡본동 566번지 9호  ,37.47555895,126.7817081,,,박물관,전문박물관
부천시,한국만화박물관,경기도 부천시 길주로 1-0 (상동),경기도 부천시 상동 529번지 2호  ,37.51194987,126.7465274,177525.4571,445566.1163,박물관,전문박물관
부천시,부천옹기박물관,"경기도 부천시 소사로 638-0 (여월동,부천옹기박물관)",경기도 부천시 여월동 318번지 0호  ,37.5125629,126.8026827,182479,445693,박물관,전문박물관
부천시,부천유럽자기박물관,"경기도 부천시 소사로 482-0 (춘의동,부천종합운동장,국궁장,체육관)",경기도 부천시 춘의동 8번지 0호  ,37.503069,126.7988742,182093,444294,박물관,종합박물관
부천시,부천시립박물관,"경기도 부천시 소사로 638-0 (여월동,부천시박물관)",경기도 부천시 여월동 318번지 0호 부천시박물관 ,37.51374313,126.8017552,182479,445693,박물관,종합박물관
부천시,부천로보파크전시관,"경기도 부천시 평천로 655-0, 1동 1층 (약대동,부천테크노파크4단지)",경기도 부천시 약대동 193번지 0호  1동 1호,37.5167348,126.7640774,179036,446027,박물관,전시관
부천시,부천수석박물관,경기도 부천시 원미구 소사로 482 (춘의동),경기도 부천시 원미구 춘의동 8번지,37.503069,126.7988742,,,박물관,전문박물관
부천시,부천활박물관,"경기도 부천시 소사로 482-0 (춘의동,부천종합운동장,국궁장,체육관)",경기도 부천시 춘의동 8번지 0호  ,37.5031637,126.7960837,182093,444294,박물관,전문박물관
부천시,부천교육박물관,"경기도 부천시 소사로 482-0 (춘의동,부천종합운동장,국궁장,체육관)",경기도 부천시 춘의동 8번지 0호  ,37.503069,126.7988742,182093,444294,박물관,종합박물관
