시설명,박물관미술관구분,소재지도로명주소,위도,경도,운영기관명,소재지지번주소
부천교육박물관,공립,경기도 부천시 소사로 482,37.501784,126.798608,부천문화재단,경기도 부천시 춘의동 8번지
자연생태박물관,공립,경기도 부천시 길주로 660,37.505103,126.816137,자연생태박물관,경기도 부천시 춘의동 381번지
한국만화박물관,공립,경기도 부천시 길주로 1,37.50959,126.745903,한국만화영상진흥원,경기도 부천시 상동 529-2번지
유럽자기박물관,공립,경기도 부천시 소사로 482,37.501784,126.798608,부천문화재단,경기도 부천시 춘의동 8번지
부천활박물관,공립,경기도 부천시 소사로 482,37.501784,126.798608,부천문화재단,경기도 부천시 춘의동 8번지
부천펄벅기념관,공립,경기도 부천시 성주로214번길 61,37.475676,126.78159,부천문화재단,경기도 부천시 심곡본동 566-9번지
부천물박물관,공립,경기도 부천시 길주로 691,37.520131,126.812281,부천시,경기도 부천시 작동 60-8번지
부천수석박물관,공립,경기도 부천시 소사로 482,37.501784,126.798608,부천문화재단,경기도 부천시 춘의동 8번지
부천로보파크,공립,경기도 부천시 평천로 655,37.517179,126.76412,부천로보파크,경기도 부천시 약대동 193번지 부천테크노파크4단지 401동 1층
부천옹기박물관,공립,경기도 부천시 소사로 638,37.512457,126.803032,부천문화재단,경기도 부천시 여월동 318번지
