연도,월,행정구역구분명,,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
2021,3,시군,부천시,경기도 부천시 ,813178,55709,69442,116325,114266,127856,146293,113243,46702,20100,3098,144
2021,3,읍면동,부천시,경기도 부천시 대산동 ,81435,4555,6281,11604,11062,12260,14598,12657,5682,2363,357,16
2021,3,읍면동,부천시,경기도 부천시 범안동 ,95626,9525,9258,11302,14106,17336,14309,11843,5257,2290,379,21
2021,3,읍면동,부천시,경기도 부천시 부천동 ,89567,5449,7127,12818,11923,13773,16435,13389,5847,2472,314,20
2021,3,읍면동,부천시,경기도 부천시 상동,86126,7809,9803,12093,12453,15200,15246,9054,2934,1290,238,6
2021,3,읍면동,부천시,경기도 부천시 성곡동 ,83257,4371,6936,12546,9622,12357,16885,12234,5402,2541,353,10
2021,3,읍면동,부천시,경기도 부천시 소사본동,56780,3716,4290,7814,8129,7839,10131,9155,3897,1564,230,15
2021,3,읍면동,부천시,경기도 부천시 신중동 ,130806,9660,11233,19361,21418,20477,22658,16995,5851,2650,484,19
2021,3,읍면동,부천시,경기도 부천시 심곡동 ,63827,2998,3848,10106,9427,9476,11584,9788,4596,1742,251,11
2021,3,읍면동,부천시,경기도 부천시 오정동 ,84109,4909,6846,12602,10705,12813,16793,12123,4856,2148,299,15
2021,3,읍면동,부천시,경기도 부천시 중동,41645,2717,3820,6079,5421,6325,7654,6005,2380,1040,193,11
2021,2,시군,부천시,경기도 부천시 ,816087,56057,69762,116672,114825,128633,147142,112543,46919,20116,3161,257
2021,2,읍면동,부천시,경기도 부천시 대산동 ,81795,4593,6326,11605,11129,12336,14692,12619,5720,2377,366,32
2021,2,읍면동,부천시,경기도 부천시 범안동 ,95961,9586,9233,11371,14240,17344,14413,11756,5270,2310,396,42
2021,2,읍면동,부천시,경기도 부천시 부천동 ,89939,5488,7164,12899,11975,13815,16554,13325,5893,2468,323,35
2021,2,읍면동,부천시,경기도 부천시 상동,86229,7868,9828,12101,12458,15292,15291,8936,2932,1278,239,6
2021,2,읍면동,부천시,경기도 부천시 성곡동 ,83693,4424,6997,12564,9680,12535,16942,12182,5438,2542,363,26
2021,2,읍면동,부천시,경기도 부천시 소사본동,57093,3725,4309,7836,8209,7895,10261,9119,3921,1567,229,22
2021,2,읍면동,부천시,경기도 부천시 신중동 ,131066,9722,11270,19425,21472,20584,22763,16814,5862,2642,493,19
2021,2,읍면동,부천시,경기도 부천시 심곡동 ,64170,2986,3878,10139,9486,9573,11629,9817,4614,1757,256,35
2021,2,읍면동,부천시,경기도 부천시 오정동 ,84382,4944,6900,12623,10756,12894,16879,12028,4882,2145,305,26
2021,2,읍면동,부천시,경기도 부천시 중동,41759,2721,3857,6109,5420,6365,7718,5947,2387,1030,191,14
2021,1,시군,부천시,경기도 부천시 ,817449,56594,70237,117030,115524,128827,147397,111658,46848,19945,3135,254
2021,1,읍면동,부천시,경기도 부천시 대산동 ,81918,4660,6346,11617,11231,12351,14719,12515,5741,2343,364,31
2021,1,읍면동,부천시,경기도 부천시 범안동 ,96152,9672,9252,11413,14428,17310,14409,11687,5247,2306,387,41
2021,1,읍면동,부천시,경기도 부천시 부천동 ,90001,5551,7216,12920,12010,13820,16570,13224,5899,2435,322,34
2021,1,읍면동,부천시,경기도 부천시 상동,86414,7920,9911,12161,12546,15305,15283,8851,2922,1271,238,6
2021,1,읍면동,부천시,경기도 부천시 성곡동 ,83881,4470,7091,12595,9726,12632,16967,12040,5448,2524,362,26
2021,1,읍면동,부천시,경기도 부천시 소사본동,57203,3744,4360,7874,8233,7935,10297,9052,3907,1551,228,22
2021,1,읍면동,부천시,경기도 부천시 신중동 ,131433,9853,11339,19514,21614,20616,22816,16703,5841,2623,494,20
2021,1,읍면동,부천시,경기도 부천시 심곡동 ,64125,2995,3900,10121,9459,9615,11657,9761,4592,1742,249,34
2021,1,읍면동,부천시,경기도 부천시 오정동 ,84489,4985,6954,12680,10818,12879,16919,11940,4862,2126,300,26
2021,1,읍면동,부천시,경기도 부천시 중동,41833,2744,3868,6135,5459,6364,7760,5885,2389,1024,191,14
