대상명,위치,준공일,총연장(m),폭(m),통과높이,안전점검(유지보수) 내역,안전등급
상동지하차도,경기도 부천시 상동 624-3,2002-07-20,235.3,20.5,4.3,2016.06. 정밀점검실시,B
당아래지하차도,경기도 부천시 춘의동,2012-12-31,140,23,5.5,2016.06.정밀점검실시,B
송내지하차도,경기도 부천시 송내동286,1995-09-26,715,39,8.57,2017.11.정밀점검실시,B
동남지하차도,경기도 부천시 범박동157-1,2008-04-02,460,30,5.4,2017.11.정밀점검실시,A
소명지하차도,경기도 부천시 심곡본동776,1977-01-01,411,7.6,4.8,2017.09.정밀점검실시,C
역곡지하차도,경기도 부천시 역곡3동92,1998-01-01,38,13,2.5,2017.09.정밀점검실시,B
삼정지하차도(인천-20 통로암거),경기도 부천시 삼정동88-2,,42,10.5,,한국도로공사 관리시설,
부천IC지하차도(부천IC본선육교),경기도 부천시 내동222-41,,43,41,,한국도로공사 관리시설,
오정지하차도(부천1육교),경기도 부천시 내동169,,61,69,,한국도로공사 관리시설,
베르네지하차도(여월교),경기도 부천시 여월동1-45,,38,38,,한국도로공사 관리시설,
원종지하차도(원종육교),경기도 부천시 원종동374,,36,36,,한국도로공사 관리시설,
고리울천지하차도(작동육교),경기도 부천시 고강동298,,36.4,36,,한국도로공사 관리시설,
고강지하차도,경기도 부천시 고강동1-1,2005-11-15,490,21,7.9,2016.11.정밀점검실시,B
오정휴먼시아 지하차도,경기도 부천시 오정동733,2009-11-16,340,20,3,정기점검 내역없음,
