,군집,인구밀도,위도_평균,경도_평균,위도_분산,경도_분산,군집수
0,0,677.3636363636364,37.49704094748323,126.76748581571282,0.001212921721733259,0.0018202298308682481,11
1,1,657.0,37.50700896736509,126.77611660840559,0.001807263287226484,0.0023235096114719834,7
2,2,1121.4,37.5012703069772,126.7712156361604,0.0016920989434667378,0.0017454142375868873,15
3,3,1207.3076923076924,37.501440407785864,126.75038562267974,0.001983671242926331,0.0016262911009865281,13
4,4,595.5263157894736,37.5143740215629,126.77035372872618,0.0021601870476514588,0.002820820787877301,19
5,5,553.6666666666666,37.49646065341709,126.78722585647142,0.0017823586523810382,0.001979443453931885,9
6,6,599.4444444444445,37.490873005276256,126.79067255166257,0.0012752652155835309,0.0017977644640719084,9
7,7,532.5,37.52594668939058,126.80996597275835,0.003081389178544908,0.0028384951450474735,28
8,8,661.2727272727273,37.46865186018343,126.8018941266752,0.0020204040363387653,0.002249502366551717,11
9,9,1768.875,37.512298422132666,126.75701168969655,0.0024099555590504653,0.0015318233780928768,8
10,10,564.5,37.480927309479966,126.79808692370473,0.0019790819300410625,0.002178181349732961,12
11,11,1286.3,37.50901680532922,126.75118891370418,0.002411916223297685,0.0017710162451586404,10
12,12,549.0,37.48284297173188,126.78934090364274,0.002052833388317229,0.002437879605405627,10
13,13,811.8421052631579,37.49270548866415,126.74942868944515,0.0019612432500382047,0.002212759094876156,19
14,14,515.6666666666666,37.52855144370426,126.78604038259853,0.002556071935120047,0.0019751090616352777,18
15,15,551.3333333333334,37.52150044028708,126.78761642818824,0.0009835921003389827,0.0010178934332332643,6
16,16,636.125,37.4749380457123,126.8014179661279,0.001874678250634493,0.0014467313134249574,16
17,17,549.2105263157895,37.517473173263035,126.80439034407965,0.0034426619425132737,0.0031239071867268558,19
18,18,552.5714285714286,37.517252456709755,126.78781847372537,0.0011286889458467786,0.0012114097837801925,7
19,19,656.7894736842105,37.50049888721945,126.7590563582485,0.0015883701525654325,0.0016973731975385863,19
20,20,893.4,37.49036856989941,126.7670984907533,0.001623477570981304,0.0015933395688458789,15
21,21,667.3157894736842,37.49615220391375,126.75433607951764,0.0017238090902837763,0.001929543555252167,19
22,22,542.4,37.52018654064919,126.79396606424345,0.0014265418997921708,0.0019364329244331024,10
23,23,639.125,37.49720280880973,126.79406939855022,0.0033406331133065503,0.0008378714487198562,8
24,24,592.7692307692307,37.48766297451931,126.7758433791888,0.002339637286341904,0.0020944021168728916,13
25,25,597.0,37.47917156850767,126.77979292848022,0.0021845320679513207,0.001613305817171914,11
26,26,566.4,37.473220782308644,126.79305097338606,0.0018634314642702317,0.001027645048966397,5
27,27,1358.2,37.50674816417628,126.76309153673644,0.0025053977267794508,0.0017551454828803163,10
28,28,1134.6666666666667,37.50799297095623,126.77001885306095,0.0018350578354560832,0.001936999995376467,15
29,29,496.9,37.49474826157966,126.76117322387995,0.001957522418183924,0.0020806695985424654,10
30,30,522.4166666666666,37.47781896735694,126.80593869563184,0.0011215805556408197,0.0018536749244761792,12
31,31,725.0,37.47205359770551,126.80906430866835,0.0020706622091077598,0.002149938787630935,20
32,32,673.4117647058823,37.489778522364254,126.81180552781903,0.0014625351115203787,0.0021446856714718763,17
33,33,675.875,37.496628725020116,126.77371185097516,0.002411423851363662,0.0010380605187092237,8
34,34,510.0,37.48050951744904,126.81280772964097,0.0016083673963271455,0.002321013532830923,14
35,35,725.0,37.46260057050597,126.8109793671262,0.0009484652698771325,0.0013183355016505355,6
36,36,602.0,37.4880525172199,126.78495204426045,0.0017192165793026174,0.0024540696003877258,11
37,37,684.5833333333334,37.4947902590584,126.78014003944168,0.0020496876836223745,0.0013513136420992074,12
38,38,601.6,37.50416957972144,126.78348185973095,0.0022778321226193912,0.0009018333899487477,10
39,39,546.75,37.48765905862946,126.81890294303462,0.0032638493368258026,0.0023254162649083234,8
40,40,748.5714285714286,37.46369630209811,126.82233095929134,0.0012561032106548809,0.003172370869126291,14
41,41,547.3809523809524,37.52655567018475,126.80039463182244,0.003055575833252411,0.002177594425724399,21
42,42,609.5714285714286,37.48442010278713,126.756863698124,0.001342537177234869,0.002208978196197665,14
43,43,606.1,37.48470931709585,126.7702077357078,0.0012749620472014397,0.001608052572933201,10
44,44,515.6666666666666,37.47876343322727,126.77558129077592,0.001684800229914256,0.0012674474291704356,9
45,45,507.25,37.485857240255605,126.80614712735654,0.0017811647548503448,0.0023286845763028116,12
46,46,603.5,37.47937555977435,126.76765831469372,0.0011511979451756368,0.0026042087336183638,10
47,47,626.1538461538462,37.500437354375556,126.7785918890281,0.0013945853847317168,0.0012953670467354208,13
48,48,816.5,37.48552307241526,126.76335662667054,0.0006295731276094574,0.0021623736507049574,8
49,49,514.5357142857143,37.527880878181634,126.82154858136123,0.0023164924520960354,0.0025216431400255745,28
