,군집,인구밀도,위도,경도,스포츠_5분이내수,스포츠_5분이내거리최소,스포츠_5분이내거리평균,스포츠_5분이내거리최대
0,0,677.3636363636364,37.49704094748323,126.76748581571282,13,0.0010394960947866236,0.0027370032652899263,0.004012912219289232
1,3,1207.3076923076926,37.50144040778585,126.75038562267973,13,0.002432557701149371,0.002848848088800524,0.003594057695813918
2,5,553.6666666666666,37.49646065341709,126.78722585647142,12,0.002020204989353697,0.00320402595226275,0.003961015461733142
3,6,599.4444444444445,37.490873005276256,126.79067255166255,12,0.0009505792681182587,0.002972283972415909,0.003976874205083593
4,10,564.5,37.48092730947997,126.79808692370472,4,0.0023142352274181394,0.003120029701821573,0.003743302614447903
5,15,551.3333333333334,37.52150044028708,126.78761642818823,8,0.0017118457188345824,0.0026954903903872516,0.0038914860777336914
6,18,552.5714285714286,37.517252456709755,126.78781847372535,8,0.002149762640315862,0.002793562363654369,0.003923108142373701
7,22,542.4,37.520186540649185,126.79396606424343,13,0.0003451512863051855,0.0023130959070391654,0.0037892126339956447
8,25,597.0,37.479171568507674,126.77979292848022,19,0.0011082876743710715,0.0020843970941116247,0.003717227844346689
9,26,566.4,37.47322078230864,126.79305097338606,10,0.002160807562332688,0.0027387153717938475,0.0034003172670442976
10,29,496.9,37.49474826157966,126.76117322387995,12,0.001229173100736666,0.0024956478851886326,0.003909431545683717
11,30,522.4166666666666,37.47781896735694,126.80593869563185,10,0.0012807573443438978,0.002338199177545985,0.004061798214348384
12,35,725.0,37.46260057050597,126.8109793671262,2,0.0017679394944514295,0.0019303198212635092,0.002092700148075589
13,37,684.5833333333334,37.4947902590584,126.78014003944168,8,0.001542455990417778,0.0028724174737530033,0.0038375513438368334
14,42,609.5714285714286,37.48442010278713,126.75686369812401,3,0.0012303528495747104,0.0018645989581434607,0.0028249474111676893
15,43,606.1,37.48470931709585,126.7702077357078,7,0.000467275870746273,0.0025286095354254004,0.003913318915622141
16,44,515.6666666666666,37.47876343322727,126.77558129077593,7,0.0009684543494537584,0.002817708209126565,0.0039041034324652627
17,47,626.1538461538463,37.50043735437556,126.77859188902809,14,0.0011493610594912546,0.002640884197989516,0.0034927737082389833
18,48,816.5,37.485523072415255,126.76335662667056,20,0.0005608203330705705,0.0018057342859357267,0.0032841207324337796
19,11_0,484.0,37.50662337232883,126.75042081240127,24,0.0010313109410598036,0.002528044941057537,0.003619693034349245
20,11_1,1821.166666666667,37.51061242732949,126.7517009812395,17,0.0021164526497986333,0.002977074956837371,0.003985996763931019
21,12_0,567.5,37.481189503675274,126.79167522003269,4,0.0032129591517172703,0.0033089752567848933,0.003432462153896885
22,12_1,536.6666666666666,37.48394528376961,126.78778469271609,5,0.0014727084228142691,0.0024507766001792245,0.0037371285387474517
23,13_0,936.8181818181821,37.49396915363014,126.74807916363571,5,0.00041422242940366557,0.0018491451295085965,0.0023128310818498455
24,13_1,640.0,37.490967949335925,126.75128428743315,12,0.0011504210238685577,0.0019142545578843702,0.0033156196203029497
25,14_0,534.6,37.530507199398095,126.78651216008535,7,0.0009555380382207241,0.002240566644907139,0.0039492163675185436
26,14_1,492.0,37.52610674908696,126.78545066074005,12,0.0005579286519302574,0.00219175585785905,0.003955224582373571
27,16_0,706.0,37.476640562780105,126.80080634313234,12,0.0008289721700550369,0.0026400854221198915,0.004063448849743589
28,16_1,581.7777777777778,37.47361386577069,126.8018936729022,15,0.0014219188481874115,0.002193608883467989,0.003926165935575146
29,17_0,542.5625,37.518726595549055,126.8042633298643,9,0.00017098546205532615,0.002003799264660582,0.004000015769799391
30,17_1,584.6666666666666,37.510788254404225,126.8050677532283,6,0.0014834064087169215,0.002254858074101469,0.0040005289678854295
31,19_0,659.1111111111112,37.50170148087935,126.76002364781294,7,0.0011752540354371618,0.0024797641535786934,0.00361077160360837
32,19_1,654.7,37.499416552925545,126.75818579764044,5,0.0008803122831736334,0.001947962018341651,0.0032147910004232372
33,1_0,713.6,37.50791640493415,126.77710994784599,4,0.000456783686751381,0.0022384923738749184,0.004069512584920016
34,1_1,515.5,37.50474037344244,126.77363325980455,11,0.0010957378781657307,0.0031334928308392597,0.004070164777714969
35,20_0,1120.8333333333333,37.491925435552375,126.76621603617912,22,0.00038789151034945813,0.0027194462535606112,0.003821543390309421
36,20_1,741.7777777777777,37.48933065946411,126.76768679380274,11,0.0005280123979251671,0.0022129535898358214,0.0038077548984823775
37,21_0,723.4285714285713,37.49540071738768,126.75231068965356,8,0.0014129427716684895,0.002547850149605022,0.003574542317400057
38,21_1,634.5833333333334,37.496590571053964,126.7555175569384,9,0.0015450607953870208,0.0030003761190389505,0.003899397007866759
39,23_0,656.6,37.4948574041188,126.79375208673086,8,0.0004181063610280385,0.0020799118310068708,0.003682675645136972
40,23_1,610.0,37.50111181662796,126.79459825158243,8,0.0017595668707946132,0.0029087738577579566,0.0035653429135387976
41,24_0,483.1428571428572,37.489487207344105,126.77450818045065,7,0.0006010403618394664,0.0022566821523142305,0.003303422355987177
42,24_1,720.6666666666665,37.485534702890355,126.77740111104994,2,0.002244918677600867,0.002500897754191161,0.002756876830781455
43,27_0,704.4,37.50495122633235,126.76401434403502,16,0.00048578333541570616,0.0023875066852986956,0.004035706381956259
44,27_1,2012.0,37.508545102020214,126.76216872943785,11,0.0007981582516579788,0.002477594047126855,0.00368442759605264
45,28_0,1691.2857142857142,37.50721769623669,126.76819454300045,11,0.001066498992958746,0.002604023698553743,0.003934750617176828
46,28_1,647.625,37.50867133633582,126.77161512436388,10,0.001710025862148616,0.0025135665225683263,0.0039053874464300246
47,2_0,865.1,37.50040231639278,126.77175203960572,18,0.000735752389364582,0.00276640596026886,0.003974722365733839
48,2_1,1634.0,37.503006288146,126.77014282926979,13,0.0006139320417039636,0.002447454366013839,0.004024267877830481
49,31_0,766.3333333333335,37.47034309533115,126.80770413943723,14,0.0013606422431170849,0.0022870984325931184,0.003767490285404268
50,31_1,691.1818181818181,37.473453099648154,126.81017717440292,12,0.0009297671872258703,0.00252179804330946,0.0038593325106119464
51,32_0,530.2857142857143,37.489053551888716,126.80957836007809,12,0.00026892075927217104,0.0025312174117173183,0.004069077526030566
52,32_1,773.6,37.490286001697136,126.81336454523769,14,0.0008209143731657113,0.0028923170025143834,0.004085172948732784
53,33_0,690.6666666666665,37.49918355464218,126.77387564875679,12,0.0007876673495057459,0.002074944504352584,0.003198633489526902
54,33_1,667.0,37.495095827246864,126.77361357230616,7,0.0025093544131823946,0.002900427706329626,0.003842516360298584
55,34_0,507.5555555555555,37.48007918223076,126.81138440210718,12,8.309980171721162e-05,0.0029943823969637465,0.0040655809714381375
56,34_1,514.4,37.481284120841934,126.81536971920177,7,0.001128928254789756,0.0021605393702384575,0.0032784174691876744
57,36_0,635.8571428571429,37.48698587497024,126.78665160267076,16,0.0007262263487035967,0.0021573988077212294,0.0035411712207060555
58,36_1,542.75,37.489919141156776,126.7819778170424,13,0.001759118138495617,0.0030972349357285566,0.003997302028152821
59,38_0,561.0,37.50187505103528,126.78412604466044,10,0.0012416471575387683,0.002661679877064522,0.0037763049117197594
60,38_1,628.6666666666666,37.505699265512206,126.7830524031113,7,0.0012143624488142473,0.0023426467227967624,0.003296421384216487
61,39_0,517.8,37.489961453333954,126.81958898787596,3,0.001784150003541767,0.0021968248458262654,0.0029635714985212884
62,39_1,595.0,37.483821734121975,126.81775953496565,4,0.0011398559138125802,0.0024500277124631558,0.0036305452816775934
63,40_0,780.2857142857142,37.46364720974909,126.82499681675252,4,0.002594846332490027,0.0032566858500527995,0.003750905960730608
64,40_1,716.8571428571429,37.463745394447116,126.8196651018302,0,0.0025,0.0025,0.0025
65,41_0,564.9090909090909,37.52911721318797,126.80071366661132,9,0.0023049411071579097,0.0031805318797246337,0.0038405784326202975
66,41_1,528.1,37.523737972881214,126.8000436935546,15,0.0008211048136246731,0.00243993069323254,0.003310821565184076
67,45_0,458.0,37.483735905971656,126.8030562359828,3,0.002326459814525668,0.002696016483408934,0.0030270800429262816
68,45_1,523.6666666666666,37.48656435168359,126.80717742448117,7,0.0018634362875813606,0.002916103023800419,0.0037836993697865956
69,46_0,628.8333333333334,37.47855388148215,126.76596980414513,6,0.0009947289656819893,0.0025072413162477666,0.003715167818353037
70,46_1,565.5,37.480608077212636,126.77019108051657,10,0.0009955181029201142,0.0019311896773388545,0.0037490575456416734
71,49_0,504.0,37.52916699757811,126.81996534049809,11,0.0008309560877402311,0.002942084275629152,0.003876558676520992
72,49_1,530.8181818181819,37.52589323911434,126.8239954081498,9,0.0012547007663960745,0.002365364327158758,0.003960221797717149
73,4_0,499.0,37.514525672583815,126.77256119805305,13,0.0007113714627389505,0.0029074846861789844,0.004025234553688046
74,4_1,728.25,37.51416550140915,126.76731845840172,8,0.0009314324280582628,0.002952465706394727,0.003957165996482035
75,7_0,555.4,37.5242965582155,126.81073299521229,5,0.0010227234990666102,0.002385051118631726,0.0039095623708945825
76,7_1,475.25,37.53007201732828,126.80804841662338,9,0.0016173496098662724,0.0026645763877716864,0.003951652495594918
77,8_0,632.25,37.46999714007743,126.8042204516408,13,0.0005646478789884936,0.0028142199766467675,0.0037683871126817817
78,8_1,677.8571428571429,37.46788312881544,126.8005647981234,9,0.001214425116479321,0.0026698888019101186,0.0038180174164545995
79,9_0,1836.5,37.510267854501464,126.75660750445805,12,0.0021473844661243423,0.003433954771651464,0.004071577488046585
80,9_1,1701.25,37.51432898976387,126.75741587493505,1,0.003266669359995132,0.003266669359995132,0.003266669359995132
